exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time
,,200574891.688636988401413,47.500385046005249,186281810.893627882003784,25.231878042221069,61689466.607071027159691,2106.506220102310181
,,200574891.688636988401413,63.536736011505127,186281810.893627882003784,37.606374979019165,62535779.220371268689632,2163.249936103820801
,,200574891.688636988401413,76.468112945556641,186281810.893627882003784,48.949101924896240,63997660.276582695543766,2216.613435983657837
,,200574891.688636988401413,94.921330928802490,186281810.893627882003784,63.383467912673950,77483587.963623568415642,2265.537109136581421
,,200574891.688636988401413,135.814141035079956,82459615.081140428781509,81.955163955688477,76000222.982060328125954,2320.917431116104126
,,63301688.700377836823463,151.595898866653442,82459615.081140428781509,96.378828048706055,73780434.691474959254265,2371.086274147033691
,,63301688.700377836823463,176.195086002349854,82459615.081140428781509,118.038282871246338,70119673.522579222917557,2423.609332084655762
,,54637780.752780318260193,217.015913009643555,82459615.081140428781509,145.753314018249512,82456121.001401841640472,2463.434083938598633
,,54251536.012745007872581,289.668024063110352,52002424.276453301310539,174.079933881759644,89657042.993213638663292,2515.403049945831299
,,54251536.012745007872581,338.272561073303223,51701698.532214775681496,247.933543920516968,80113946.365399748086929,2557.621757030487061
,,54251536.012745007872581,475.723315954208374,51701698.532214775681496,327.422966003417969,78713761.095369279384613,2599.313292026519775
,,54251536.012745007872581,572.056444883346558,51701698.532214775681496,405.928787946701050,85407250.569657817482948,2633.545483112335205
,,54251536.012745007872581,659.550468921661377,51701698.532214775681496,524.005044937133789,104193186.384686753153801,2656.817930936813354
,,54251536.012745007872581,716.883904933929443,51701698.532214775681496,663.778822898864746,50617946.605122350156307,2725.927396059036255
,,54251536.012745007872581,777.699992895126343,51489634.114135712385178,797.493165969848633,52200778.485622003674507,2778.539103984832764
,,54251536.012745007872581,1152.203351020812988,51489634.114135712385178,973.850401878356934,50598866.436855010688305,2829.412624120712280
,,54251536.012745007872581,1744.407690048217773,51489634.114135712385178,1258.898411989212036,58382463.252534262835979,2889.597052097320557
,,54251536.012745007872581,2042.614714860916138,50653854.611933447420597,1407.809895038604736,54915814.091472163796425,2946.522768020629883
,,54251536.012745007872581,2347.790646076202393,49587865.404208563268185,1914.505280971527100,59893327.878234378993511,3003.729990959167480
,,54251536.012745007872581,2765.115190982818604,49066566.164376318454742,2369.371221065521240,53838348.927695952355862,3059.695832967758179
,,54244303.178164772689342,3456.718790054321289,49066566.164376318454742,2628.275492906570435,70817797.789186269044876,3117.618546009063721
,,,,49066566.164376318454742,3240.618876934051514,76599062.722440317273140,3171.207266092300415
,,,,49066566.164376318454742,3414.745914936065674,66351384.967064253985882,3219.802626132965088
,,,,,,60489640.100538782775402,3269.377208948135376
,,,,,,63044015.420781157910824,3314.960444927215576
,,,,,,70525383.947592034935951,3364.774323940277100
,,,,,,59879538.771937459707260,3417.471580028533936
,,,,,,60830732.338497474789619,3467.181072950363159
,,,,,,88396428.269701227545738,3495.050032138824463
,,,,,,102141632.421359732747078,3518.753648996353149
,,,,,,96161780.755395084619522,3570.115195989608765
,,,,,,94713377.502377867698669,3612.539721965789795
