exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time
,,132274117.844551950693130,49.234536886215210,108511986.302212148904800,24.213470935821533,51140389.246692627668381,604.553946971893311
,,132274117.844551950693130,66.434619903564453,108511986.302212148904800,38.449624061584473,51140389.246692627668381,714.093608856201172
,,132274117.844551950693130,81.960973024368286,108511986.302212148904800,52.441159963607788,51121078.384266294538975,826.471260070800781
,,132274117.844551950693130,101.314495086669922,108511986.302212148904800,67.118673086166382,51252430.748932428658009,943.920424938201904
,,132274117.844551950693130,138.973115921020508,73803930.591043233871460,83.474628925323486,51939218.084649816155434,1061.094573020935059
,,132274117.844551950693130,169.810635089874268,73803930.591043233871460,97.979557991027832,57675411.972032688558102,1174.147758960723877
,,132274117.844551950693130,198.623576879501343,59818254.226804435253143,133.847104072570801,53544306.581492654979229,1294.607226848602295
,,68572391.871076807379723,233.860177993774414,52171210.563888981938362,165.530982017517090,56143647.018786206841469,1415.779724836349487
,,66055243.355949297547340,335.414522886276245,51934320.656683735549450,234.404381990432739,53961857.334211654961109,1537.373456954956055
,,66055243.355949297547340,475.515313863754272,51934320.656683735549450,269.540657997131348,53386863.039519377052784,1655.392580032348633
,,61812761.885438799858093,560.328717947006226,51140389.246692642569542,348.326501131057739,58899596.763134315609932,1786.964275836944580
,,60516037.118500210344791,658.675987958908081,51140389.246692642569542,528.844921112060547,54618243.743584290146828,1903.822021961212158
,,60516037.118500210344791,801.827946901321411,51140389.246692642569542,845.127236127853394,54819281.088113799691200,2024.342148065567017
,,60516037.118500210344791,969.650991916656494,51140389.246692642569542,1136.272962093353271,61757556.006583034992218,2137.135633945465088
,,47426762.108754679560661,1275.595134973526001,51140389.246692642569542,1337.441853046417236,57352927.059571348130703,2248.200892925262451
,,44669369.281181022524834,1660.362925052642822,47594134.788602992892265,1515.121088981628418,62298890.451968073844910,2357.464215040206909
,,44669369.281181022524834,1985.953788995742798,42282277.817041918635368,1750.958027124404907,66026560.934309557080269,2471.406646966934204
,,44669369.281181022524834,2196.389425039291382,42282277.817041918635368,1971.821933984756470,62221044.622244849801064,2586.923466920852661
,,44669369.281181022524834,2448.475260019302368,42282277.817041918635368,2146.530303955078125,74103635.717207297682762,2722.662000894546509
,,44669369.281181022524834,2815.562972068786621,41886463.721689879894257,2254.908828973770142,63488742.980486325919628,2846.168206930160522
,,44669369.281181022524834,3214.098155021667480,41795660.452972158789635,2421.051649093627930,60904378.186320506036282,2962.644407987594604
,,42059051.215923093259335,3476.307695865631104,41795660.452972158789635,2474.497844934463501,64872845.853697873651981,3092.514207839965820
,,,,41795660.452972158789635,2553.164839982986450,72763093.744177386164665,3221.938288927078247
,,,,41795660.452972158789635,2651.456799030303955,73545937.604656547307968,3336.702210903167725
,,,,41795660.452972158789635,2714.546015024185181,68167399.787639960646629,3460.212811946868896
,,,,41682617.986355222761631,3119.542199134826660,75590754.229400172829628,3565.332331895828247
,,,,41682617.986355222761631,3238.275938987731934,62914610.919544368982315,3682.673709869384766
,,,,41682617.986355222761631,3329.439419031143188,,
,,,,41682617.986355222761631,3462.467483043670654,,
,,,,41644058.703750424087048,3605.344094038009644,,
