exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact+vns_sol,rssv_tbPMP_exact+vns_time
,,142812137.536897063255310,55.403418064117432,230598772.282895237207413,27.160821914672852,69852682.113324299454689,604.933790922164917
,,109146810.870964139699936,76.548711061477661,116493689.627580702304840,41.920598983764648,69852682.113324299454689,654.801321983337402
,,109146810.870964139699936,95.912421226501465,116493689.627580702304840,60.153751850128174,72792202.858393803238869,712.685644865036011
,,109146810.870964139699936,118.841686010360718,116493689.627580702304840,83.362814903259277,71091712.903062358498573,771.248525857925415
,,88088485.277384400367737,152.285332202911377,81221491.983804762363434,113.746377944946289,71539458.419818013906479,824.823597908020020
,,88088485.277384400367737,179.894810199737549,70820991.575120449066162,135.892204999923706,70074648.131423532962799,883.271379947662354
,,78455688.707563638687134,242.762897014617920,69428217.584305137395859,215.187541961669922,72739598.829112067818642,934.252198934555054
,,70845246.152803808450699,458.133749008178711,69428217.584305137395859,308.063823938369751,74605281.050198435783386,991.758592844009399
,,67097912.553273096680641,706.610397100448608,66678083.528503455221653,571.402992010116577,73772689.224601075053215,1044.539770841598511
,,67097912.553273096680641,773.122582197189331,66678083.528503455221653,829.485758781433105,72979927.322446480393410,1098.166234970092773
,,67097912.553273096680641,909.193735122680664,66678083.528503455221653,952.974983930587769,76681374.777873933315277,1152.730829000473022
,,67097912.553273096680641,1242.874320030212402,66079556.752310037612915,1239.282416820526123,93877318.627561450004578,1203.240898847579956
,,67097912.553273096680641,1485.655551195144653,66079556.752310037612915,1339.153395891189575,76190235.966509997844696,1251.606935024261475
,,65933954.354307100176811,1766.336280107498169,66079556.752310037612915,1445.907036781311035,86936860.212158396840096,1306.504005908966064
,,65933954.354307100176811,2038.296871185302734,66079556.752310037612915,1563.480851888656616,84388257.661162808537483,1362.696859836578369
,,65933954.354307100176811,2294.447490215301514,66079556.752310037612915,1643.413342952728271,92307906.001218691468239,1418.213178873062134
,,65933954.354307100176811,3144.862232208251953,65377427.752062007784843,1796.965093851089478,84007507.878517672419548,1473.337678909301758
,,65778505.352574884891510,3528.333001136779785,65377427.752062007784843,1945.709196805953979,76873774.279600977897644,1528.155598878860474
,,,,65377427.752062007784843,1997.079610824584961,87334651.590627640485764,1585.492025852203369
,,,,65377427.752062007784843,2072.148799896240234,87739642.520832195878029,1641.301033973693848
,,,,65377427.752062007784843,2291.289219856262207,84061416.545819133520126,1699.191397905349731
,,,,65377427.752062007784843,2391.391883850097656,92586766.071937918663025,1753.966084957122803
,,,,65377427.752062007784843,2455.106571912765503,77876525.102106571197510,1814.787250995635986
,,,,65377427.752062007784843,2725.964895963668823,88282829.412743464112282,1865.613180875778198
,,,,65377427.752062007784843,3548.020898818969727,100041173.289910465478897,1924.001879930496216
,,,,65377427.752062007784843,3589.090304851531982,100541890.042300403118134,1981.822064876556396
,,,,65377427.752062007784843,3604.354819774627686,114077040.389617711305618,2038.680117845535278
,,,,,,103187505.818072482943535,2094.378109931945801
,,,,,,122502205.138501614332199,2150.377823829650879
,,,,,,69721285.042603924870491,2201.868723869323730
,,,,,,70227576.527752295136452,2253.678601026535034
,,,,,,71096426.629858881235123,2309.151490926742554
,,,,,,74026252.435360521078110,2366.118029832839966
,,,,,,72923085.016230180859566,2416.361831903457642
,,,,,,75118270.531173601746559,2468.070751905441284
,,,,,,74787143.580976694822311,2520.805387973785400
,,,,,,72503067.057392045855522,2571.378906011581421
,,,,,,71644871.763452306389809,2627.121932029724121
,,,,,,78269709.640120893716812,2684.221386909484863
,,,,,,73160575.867814838886261,2738.114172935485840
,,,,,,76342651.395356401801109,2791.393241882324219
,,,,,,78093415.507305562496185,2847.822819948196411
,,,,,,86907747.287511110305786,2907.985589981079102
,,,,,,77957200.741019770503044,2962.706771850585938
,,,,,,73277750.964236065745354,3021.251333951950073
,,,,,,81999538.299517661333084,3074.244571924209595
,,,,,,91257462.289413735270500,3129.951102018356323
,,,,,,86014523.787392601370811,3189.716531991958618
,,,,,,88644597.608683273196220,3252.781283855438232
,,,,,,88090759.126379176974297,3307.558801889419556
,,,,,,98631008.656070664525032,3369.022801876068115
,,,,,,93344196.808489039540291,3421.887579917907715
,,,,,,113776870.396195307374001,3478.873790025711060
,,,,,,81418673.546101599931717,3537.437505006790161
,,,,,,95317776.765967085957527,3591.360350847244263
,,,,,,119951845.107787579298019,3644.646816015243530
