exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time
0,0,"203101837,527714","58,6064548492432","129598895,561939","65,8359279632568","83934276,0034952",0
0,0,"203101837,527714","79,279021024704","90424741,9655177","86,7753791809082","83931292,1300581","51,2452900409699"
0,0,"203101837,527714","96,1062459945679","90424741,9655177","101,146784067154","83928692,3960025","68,5202069282532"
0,0,"203101837,527714","115,813086032867","90424741,9655177","115,856603145599","83889475,8188327","154,170010089874"
0,0,"203101837,527714","166,231462001801","90424741,9655177","190,247612953186","83885593,592056","177,07039809227"
0,0,"203101837,527714","191,822026968002","85172665,2706017","218,933704137802","83880440,3963214","604,994996070862"
0,0,"92353716,0534877","250,288771867752","84736647,5301353","255,642065048218","83874922,5421014","621,532909870148"
0,0,"88619133,6100588","305,178808927536","84162920,2407551","308,606108188629","83862166,2538891","627,313091039658"
0,0,"88619133,6100588","358,212548971176","83934276,0034952","364,806235074997","83803364,1116486","810,704169988632"
0,0,"88619133,6100588","461,291846990585","83934276,0034952","443,184139966965","83755519,1979743","1502,62041807175"
0,0,"88619133,6100588","561,874929904938","83923830,5602458","620,245033025742","83689855,3281381","1547,65717387199"
0,0,"88619133,6100588","726,123522996902","83923830,5602458","719,896103143692","83620583,8986722","1692,26725292206"
0,0,"84407269,2569398","1011,64419698715","83923830,5602458","803,388781070709","83565239,0436568","2373,24538302422"
0,0,"81345454,8122055","1413,70043992996","83923830,5602458","878,464035987854","83218006,2576965","2418,28191494942"
0,0,"81345454,8122055","1552,07498383522","83923830,5602458","960,334620952606",,
0,0,"80624260,8514856","2134,310765028","83923830,5602458","1038,03925418854",,
0,0,"80624260,8514856","2401,08845591545","83923830,5602458","1120,24215006828",,
0,0,"80624260,8514856","2843,23810195923","83923830,5602458","1197,5447010994",,
0,0,"80624260,8514856","3055,95023703575","83923830,5602458","1263,86991000175",,
0,0,"80624260,8514856","3241,13235902786","83923830,5602458","1304,36702513695",,
0,0,"80598806,8904201","3405,69603586197","83923830,5602458","1360,17302918434",,
0,0,,,"83923830,5602458","1413,78215003014",,
0,0,,,"80602188,0117458","2470,47931313515",,
0,0,,,"80602188,0117458","2478,36757516861",,
0,0,,,"80602188,0117458","2517,26950216293",,
0,0,,,"80602188,0117458","2545,61870217323",,
0,0,,,"80602188,0117458","2575,98639297485",,
0,0,,,"80602188,0117458","2598,58853197098",,
0,0,,,"80602188,0117458","2661,64549517631",,
0,0,,,"80602188,0117458","3507,11660408974",,
0,0,,,"80602188,0117458","3612,11237001419",,
