exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time
0,0,"132274117,844552","49,2345368862152","113669525,806919","31,0439848899841","46691032,3934632",0
0,0,"132274117,844552","66,4346199035645","113669525,806919","36,8745038509369","46623566,5997372","64,0442459583282"
0,0,"132274117,844552","81,9609730243683","53350750,1542006","44,9698128700256","46216583,3084032","384,460685014725"
0,0,"132274117,844552","101,31449508667","53350750,1542006","73,7051539421082","46113539,4784213","1503,06523394585"
0,0,"132274117,844552","138,973115921021","50235794,3711404","83,9569139480591","47685721,3173176","4207,61471414566"
0,0,"132274117,844552","169,810635089874","50235794,3711404","96,1092457771301",,
0,0,"132274117,844552","198,623576879501","50235794,3711404","109,153766870499",,
0,0,"68572391,8710768","233,860177993774","47957988,3051542","123,959329843521",,
0,0,"66055243,3559493","335,414522886276","47957988,3051542","143,315240859985",,
0,0,"66055243,3559493","475,515313863754","47178197,0397791","207,812521934509",,
0,0,"61812761,8854388","560,328717947006","47178197,0397791","229,295033931732",,
0,0,"60516037,1185002","658,675987958908","47178197,0397791","257,873586893082",,
0,0,"60516037,1185002","801,827946901321","47178197,0397791","283,124648809433",,
0,0,"60516037,1185002","969,650991916657","47178197,0397791","310,069612979889",,
0,0,"47426762,1087547","1275,59513497353","46926034,7705127","337,793254852295",,
0,0,"44669369,281181","1660,36292505264","46691032,3934632","411,202704906464",,
0,0,"44669369,281181","1985,95378899574","46691032,3934632","427,885267972946",,
0,0,"44669369,281181","2196,38942503929","46691032,3934632","455,701943874359",,
0,0,"44669369,281181","2448,4752600193","46691032,3934632","473,208306789398",,
0,0,"44669369,281181","2815,56297206879","46691032,3934632","494,199355840683",,
0,0,"44669369,281181","3214,09815502167","46691032,3934632","510,87310385704",,
0,0,"42059051,2159231","3476,30769586563","46691032,3934632","525,107792854309",,
,,,,"46691032,3934632","543,047420978546",,
,,,,"46691032,3934632","553,845788955688",,
,,,,"46691032,3934632","559,255907773972",,
,,,,"41624902,0277224","837,994007825851",,
,,,,"41624902,0277224","846,510392904282",,
,,,,"41624902,0277224","855,133737802506",,
,,,,"41624902,0277224","873,937399864197",,
,,,,"41624902,0277224","887,495857000351",,
,,,,"41624902,0277224","927,016807794571",,
,,,,"41624902,0277224","980,72442984581",,
,,,,"41624902,0277224","1029,59185194969",,
,,,,"41624902,0277224","1035,84786295891",,
,,,,"41624902,0277224","1140,5398709774",,
,,,,"41624902,0277224","1174,0798459053",,
,,,,"41624902,0277224","1189,03583598137",,
,,,,"41624902,0277224","1197,10385084152",,
,,,,"41624902,0277224","1308,53587889671",,
,,,,"41624902,0277224","1364,1598508358",,
,,,,"41624902,0277224","1424,62785291672",,
,,,,"41624902,0277224","1479,66385793686",,
,,,,"41624902,0277224","1577,04787087441",,
,,,,"41624902,0277224","1979,83184981346",,
,,,,"41624902,0277224","2319,91585087776",,
,,,,"41624902,0277224","2460,95985484123",,
,,,,"41624902,0277224","2469,73985099792",,
,,,,"41624902,0277224","2617,0558719635",,
,,,,"41624902,0277224","3086,50081276894",,
,,,,"41624902,0277224","3244,43983983994",,
,,,,"41624902,0277224","3409,96385598183",,
,,,,"41624902,0277224","3491,303814888",,
,,,,"41624902,0277224","3500,37184786797",,
,,,,"41624902,0277224","3613,89584493637",,
