exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time,,,,,,,,
0,0,"200574891,688637","47,5003850460053","155411922,61586","29,331209897995","44720902,0912789",0,0,0,"200574891,688637","47,5003850460053","155411922,61586","29,331209897995","44720902,0912789",0
0,0,"200574891,688637","63,5367360115051","155411922,61586","34,723433971405","44616323,3681812","1167,63898396492",0,0,"200574891,688637","63,5367360115051","155411922,61586","34,723433971405","44616323,3681812","1167,63898396492"
0,0,"200574891,688637","76,4681129455566","155411922,61586","41,0902509689331","44572287,4128472","1484,46413111687",0,0,"200574891,688637","76,4681129455566","155411922,61586","41,0902509689331","44572287,4128472","1484,46413111687"
0,0,"200574891,688637","94,9213309288025","56932756,9139523","67,0740749835968","44553488,0139118","1789,97719311714",0,0,"200574891,688637","94,9213309288025","56932756,9139523","67,0740749835968","44553488,0139118","1789,97719311714"
0,0,"200574891,688637","135,81414103508","56932756,9139523","74,1213760375977","44518765,2100294","2125,83685708046",0,0,"200574891,688637","135,81414103508","56932756,9139523","74,1213760375977","44518765,2100294","2125,83685708046"
0,0,"63301688,7003778","151,595898866653","56932756,9139523","85,491240978241","44443246,6790629","2157,11220598221",0,0,"63301688,7003778","151,595898866653","56932756,9139523","85,491240978241","44443246,6790629","2157,11220598221"
0,0,"63301688,7003778","176,19508600235","56932756,9139523","94,162663936615","44231857,3315157","2868,62733101845",0,0,"63301688,7003778","176,19508600235","56932756,9139523","94,162663936615","44231857,3315157","2868,62733101845"
0,0,"54637780,7527803","217,015913009644","48471973,0994056","108,51775598526","43772026,4562171","3166,98815703392",0,0,"54637780,7527803","217,015913009644","48471973,0994056","108,51775598526","43772026,4562171","3166,98815703392"
0,0,"54251536,012745","289,66802406311","48471973,0994056","119,751032114029",0,0,0,0,"54251536,012745","289,66802406311","48471973,0994056","119,751032114029",0,0
0,0,"54251536,012745","338,272561073303","44720902,0912789","167,856036901474",0,0,0,0,"54251536,012745","338,272561073303","44720902,0912789","167,856036901474",0,0
0,0,"54251536,012745","475,723315954208","44720902,0912789","179,86220908165",0,0,0,0,"54251536,012745","475,723315954208","44720902,0912789","179,86220908165",0,0
0,0,"54251536,012745","572,056444883347","44720902,0912789","199,940941095352",0,0,0,0,"54251536,012745","572,056444883347","44720902,0912789","199,940941095352",0,0
0,0,"54251536,012745","659,550468921661","44720902,0912789","216,924215078354",0,0,0,0,"54251536,012745","659,550468921661","44720902,0912789","216,924215078354",0,0
0,0,"54251536,012745","716,883904933929","44720902,0912789","243,620527029037",0,0,0,0,"54251536,012745","716,883904933929","44720902,0912789","243,620527029037",0,0
0,0,"54251536,012745","777,699992895126","44720902,0912789","269,703471899033",0,0,0,0,"54251536,012745","777,699992895126","44720902,0912789","269,703471899033",0,0
0,0,"54251536,012745","1152,20335102081","44720902,0912789","294,855480909348",0,0,0,0,"54251536,012745","1152,20335102081","44720902,0912789","294,855480909348",0,0
0,0,"54251536,012745","1744,40769004822","44720902,0912789","336,208611965179",0,0,0,0,"54251536,012745","1744,40769004822","44720902,0912789","336,208611965179",0,0
0,0,"54251536,012745","2042,61471486092","44720902,0912789","377,877629041672",0,0,0,0,"54251536,012745","2042,61471486092","44720902,0912789","377,877629041672",0,0
0,0,"54251536,012745","2347,7906460762","44720902,0912789","408,903813123703",0,0,0,0,"54251536,012745","2347,7906460762","44720902,0912789","408,903813123703",0,0
0,0,"54251536,012745","2765,11519098282","44720902,0912789","455,290115118027",0,0,0,0,"54251536,012745","2765,11519098282","44720902,0912789","455,290115118027",0,0
0,0,"54244303,1781648","3456,71879005432","44720902,0912789","509,186254024506",0,0,0,0,"54244303,1781648","3456,71879005432","44720902,0912789","509,186254024506",0,0
0,0,0,0,"44720902,0912789","563,545630931854",0,0,0,0,0,0,"44720902,0912789","563,545630931854",0,0
0,0,0,0,"44304094,2570563","621,179764986038",0,0,0,0,0,0,"44304094,2570563","621,179764986038",0,0
0,0,0,0,"44300270,662965","848,069016933441",0,0,0,0,0,0,"44300270,662965","848,069016933441",0,0
0,0,0,0,"44300270,662965","896,598457098007",0,0,0,0,0,0,"44300270,662965","896,598457098007",0,0
0,0,0,0,"44300270,662965","934,962707996368",0,0,0,0,0,0,"44300270,662965","934,962707996368",0,0
0,0,0,0,"44300270,662965","977,898912906647",0,0,0,0,0,0,"44300270,662965","977,898912906647",0,0
0,0,0,0,"44300270,662965","1016,37867593765",0,0,0,0,0,0,"44300270,662965","1016,37867593765",0,0
0,0,0,0,"44300270,662965","1045,93150496483",0,0,0,0,0,0,"44300270,662965","1045,93150496483",0,0
0,0,0,0,"44300270,662965","1086,99751710892",0,0,0,0,0,0,"44300270,662965","1086,99751710892",0,0
0,0,0,0,"44300270,662965","1135,05484104156",0,0,0,0,0,0,"44300270,662965","1135,05484104156",0,0
0,0,0,0,"44300270,662965","1189,98759889603",0,0,0,0,0,0,"44300270,662965","1189,98759889603",0,0
0,0,0,0,"44300270,662965","1223,04379892349",0,0,0,0,0,0,"44300270,662965","1223,04379892349",0,0
0,0,0,0,"44291764,8893377","1257,38673901558",0,0,0,0,0,0,"44291764,8893377","1257,38673901558",0,0
0,0,0,0,"44104673,5630417","1295,63055801392",0,0,0,0,0,0,"44104673,5630417","1295,63055801392",0,0
0,0,0,0,"44104673,5630417","1478,50690603256",0,0,0,0,0,0,"44104673,5630417","1478,50690603256",0,0
