exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact-vns_sol,rssv_tbPMP_exact-vns_time
0,0,"138260382,022745","47,2199821472168","127700382,885704","27,8883399963379","35734205,8825003",0
0,0,"138260382,022745","63,9844901561737","127700382,885704","34,3467631340027","35715848,9884872","38,8688850402832"
0,0,"138260382,022745","83,9402232170105","42528257,3817938","40,4336349964142","35679793,0248012","150,81283903122"
0,0,"138260382,022745","102,470417022705","38451375,4978565","47,5906081199646","35604209,9567838","175,557954072952"
0,0,"138260382,022745","147,935423135757","38451375,4978565","75,4022541046143","35555475,6965441","291,277884960175"
0,0,"138260382,022745","176,575332164764","37622591,1490313","86,8510119915009","35479892,6285267","315,714308977127"
0,0,"138260382,022745","209,257705211639","37431478,871931","97,6589839458466","35460410,5502878","1671,6401040554"
0,0,"48408850,1275273","284,483166217804","36868092,6485615","118,147269964218","35420660,6504964","2558,21030402184"
0,0,"40082669,4583804","349,289354085922","36118421,9028625","134,559648990631","35278828,3741335","3446,65489506722"
0,0,"40082669,4583804","418,700211048126","36118421,9028625","150,75288105011",,
0,0,"40082669,4583804","487,968163013458","36118421,9028625","208,680902004242",,
0,0,"40082669,4583804","668,635931015015","36118421,9028625","229,659090042114",,
0,0,"40082669,4583804","790,057517051697","35734205,8825004","248,699948072433",,
0,0,"33863595,5043965","906,794046163559","35734205,8825004","281,459222078323",,
0,0,"31979354,1469835","1965,46548199654","35734205,8825004","317,546714067459",,
0,0,"31979354,1469835","2161,55774402618","35734205,8825004","348,712206125259",,
0,0,"31979354,1469835","2318,92451310158","35734205,8825004","383,986989974976",,
0,0,"31979354,1469835","2602,07399106026","35734205,8825004","418,549656152725",,
0,0,"31979354,1469835","2737,66595315933","35734205,8825004","449,346029996872",,
0,0,"31979354,1469835","2871,48882603645","35734205,8825004","466,486624956131",,
0,0,"31979354,1469835","3042,58414506912","35734205,8825004","491,102066040039",,
0,0,"31979354,1469835","3163,24989819527","35734205,8825004","502,86267209053",,
0,0,"31979354,1469835","3353,07839012146","35734205,8825004","513,41628408432",,
0,0,"31979354,1469835","3443,31680107117","31077368,2063183","746,066327095032",,
0,0,"31979354,1469835","3580,57603406906","31077368,2063183","754,434127092361",,
0,0,,,"31077368,2063183","760,747759103775",,
0,0,,,"31077368,2063183","776,693457126617",,
0,0,,,"31077368,2063183","804,969435930252",,
0,0,,,"31077368,2063183","840,009454011917",,
0,0,,,"31077368,2063183","889,024635076523",,
0,0,,,"31077368,2063183","957,453448057175",,
0,0,,,"31077368,2063183","1015,12546300888",,
0,0,,,"31077368,2063183","1060,08544898033",,
0,0,,,"31063614,0996789","1112,57745409012",,
0,0,,,"31063614,0996789","1167,5254650116",,
0,0,,,"31063298,5821033","1202,03348207474",,
0,0,,,"31063298,5821033","2112,80145692825",,
0,0,,,"31063298,5821033","2481,13746213913",,
0,0,,,"31045961,1649919","2873,53748297691",,
0,0,,,"31043218,6504655","3084,55346298218",,
0,0,,,"31043218,6504655","3360,86547112465",,
0,0,,,"31043218,6504655","3603,14755415916",,
