exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact_vns_sol,rssv_tbPMP_exact_vns_time
0,0,"142812137,536897","55,4034180641174","136787335,519444","37,6900720596313","70037951,5632692",0
0,0,"109146810,870964","76,5487110614777","99820033,7377653","48,4146399497986","70020018,7981469","54,3818469047546"
0,0,"109146810,870964","95,9124212265015","80646381,610052","57,3544981479645","69973552,3113506","204,575531959534"
0,0,"109146810,870964","118,841686010361","75441465,8790572","67,63858294487","69913918,5831","255,912739992142"
0,0,"88088485,2773844","152,285332202911","73369024,6810772","95,4887270927429","69873061,2453596","667,509078979492"
0,0,"88088485,2773844","179,894810199738","70652764,9839534","106,94543504715","69467655,2603757","1086,44412088394"
0,0,"78455688,7075636","242,762897014618","70597145,0229078","124,755036115646","69467655,2603757","3437,29299092293"
0,0,"70845246,1528038","458,133749008179","70037951,563269","143,883397102356",,
0,0,"67097912,5532731","706,610397100449","70037951,563269","219,612537145615",,
0,0,"67097912,5532731","773,122582197189","70037951,563269","244,195295095444",,
0,0,"67097912,5532731","909,193735122681","70037951,563269","278,38338804245",,
0,0,"67097912,5532731","1242,87432003021","70037951,563269","313,904924154282",,
0,0,"67097912,5532731","1485,65555119514","70037951,563269","339,463804006577",,
0,0,"65933954,3543071","1766,3362801075","70037951,563269","376,844527006149",,
0,0,"65933954,3543071","2038,2968711853","70037951,563269","412,582226991654",,
0,0,"65933954,3543071","2294,4474902153","70037951,563269","439,689058065414",,
0,0,"65933954,3543071","3144,86223220825","70037951,563269","467,019458055496",,
0,0,"65778505,3525749","3528,33300113678","70037951,563269","499,377820014954",,
0,0,,,"70037951,563269","535,780655145645",,
0,0,,,"70037951,563269","567,357282161713",,
0,0,,,"70037951,563269","608,412101984024",,
0,0,,,"70037951,563269","643,031444072723",,
0,0,,,"66022065,2065254","1052,33268404007",,
0,0,,,"66022065,2065254","1059,58933806419",,
0,0,,,"66022065,2065254","1089,13239908218",,
0,0,,,"66022065,2065254","1130,80020308495",,
0,0,,,"66022065,2065254","1221,70824599266",,
0,0,,,"66022065,2065254","1274,00032615662",,
0,0,,,"66022065,2065254","1318,82422208786",,
0,0,,,"66022065,2065254","1364,4602060318",,
0,0,,,"66022065,2065254","1372,33220815659",,
0,0,,,"66022065,2065254","1446,55221009254",,
0,0,,,"66022065,2065254","1562,89624094963",,
0,0,,,"65991403,7740242","2648,94868016243",,
0,0,,,"65991403,7740242","2788,17620611191",,
0,0,,,"65991403,7740242","3351,65221500397",,
0,0,,,"65955695,7209961","3604,99444007874",,
