exact_notimelimit_sol,exact_notimelimit_time,exact_TL_sol,exact_TL_time,rssv_tbPMP_exact_sol,rssv_tbPMP_exact_time,rssv_tbPMP_exact-vns_sol,rssv_tbPMP_exact-vns_time
0,0,"224907106,398878","48,3131039142609","168656619,192895","31,6575679779053","36962669,8769246",0
0,0,"224907106,398878","65,2160618305206","168656619,192895","39,7037799358368","36871714,7491003","8,56427812576294"
0,0,"224907106,398878","85,1408770084381","168656619,192895","46,8308629989624","36671103,2236075","156,508595943451"
0,0,"224907106,398878","107,20689702034","71591590,5872529","55,5416028499603","36537408,1972735","1843,89154100418"
0,0,"224907106,398878","161,478486061096","44945424,6775053","89,8883240222931",,
0,0,"38401902,3942894","199,859959840775","44945424,6775053","102,892370939255",,
0,0,"38401902,3942894","256,134173870087","38401217,9259892","120,051899909973",,
0,0,"38401902,3942894","327,967154026032","38136970,4213017","138,884819030762",,
0,0,"38401902,3942894","367,244057893753","37016603,5446341","151,701292991638",,
0,0,"38401902,3942894","447,94007897377","37016603,5446341","169,39270401001",,
0,0,"38401902,3942894","535,96036195755","36962669,8769246","226,646378993988",,
0,0,"38401902,3942894","639,029011011124","36962669,8769246","249,654515981674",,
0,0,"38401902,3942894","693,850563049316","36962669,8769246","279,520638942718",,
0,0,"38401902,3942894","801,519276857376","36962669,8769246","303,714582920074",,
0,0,"38123573,3148022","1055,39944505692","36962669,8769246","333,721759796143",,
0,0,"37383175,9508731","1458,19338798523","36962669,8769246","360,027242898941",,
0,0,"37383175,9508731","1577,71026587486","36962669,8769246","397,251967906952",,
0,0,"37383175,9508731","1956,5020430088","36962669,8769246","437,676842927933",,
0,0,"36119729,1308436","2634,8271958828","36962669,8769246","491,383680820465",,
0,0,"36119729,1308436","2738,38436603546","36962669,8769246","547,30001282692",,
0,0,"36119729,1308436","2926,01662588119","36962669,8769246","590,781044960022",,
0,0,"35559332,0476213","3315,58935403824","36962669,8769246","625,148370027542",,
0,0,"35559332,0476213","3419,7839319706","36962669,8769246","671,148499011993",,
0,0,"35559332,0476213","3540,14868402481","36624631,853619","713,167707920074",,
0,0,,,"32702507,3739323","844,116381883621",,
0,0,,,"32702507,3739323","863,645224809647",,
0,0,,,"32702507,3739323","887,209565877915",,
0,0,,,"32562366,2525117","917,566244840622",,
0,0,,,"32562366,2525117","955,855441808701",,
0,0,,,"32562366,2525117","983,752255916595",,
0,0,,,"32562366,2525117","1009,45075201988",,
0,0,,,"32562366,2525117","1033,88038992882",,
0,0,,,"32562366,2525117","1061,25837302208",,
0,0,,,"32538038,7676094","1328,44833803177",,
0,0,,,"32538038,7676094","1336,01329398155",,
0,0,,,"32538038,7676094","1347,62156486511",,
0,0,,,"32538038,7676094","1366,23586988449",,
0,0,,,"32538038,7676094","1373,01582479477",,
0,0,,,"32538038,7676094","1424,42475891113",,
0,0,,,"32538038,7676094","1474,52384281158",,
0,0,,,"32538038,7676094","1498,56838202477",,
0,0,,,"32538038,7676094","1525,10785293579",,
0,0,,,"32538038,7676094","1757,82385587692",,
0,0,,,"32537881,0026539","1877,86787390709",,
0,0,,,"32537881,0026539","2026,81985783577",,
0,0,,,"32537881,0026539","2212,08386802673",,
0,0,,,"32537881,0026539","2315,5718998909",,
0,0,,,"32537881,0026539","2423,32386183739",,
0,0,,,"32537881,0026539","2674,77987980843",,
0,0,,,"32537881,0026539","3593,7998688221",,
0,0,,,"32537881,0026539","3605,57729387283",,
